company,file_category,language,original_filename,hashed_filename
barclays,visual_documents,EN,Barclays-PLC-2020-ESG-Report-2020_en.pdf,d6fe10b4020a25a1bbabc9d0aff340e4.pdf
barclays,visual_documents,EN,Barclays-PLC-Annual-Report-2023_en.pdf,e7582dae4606522536feed60c411436f.pdf
barclays,visual_documents,EN,review-of-2021-preview-of-2022_en.pdf,de993018c502ad75be721447b41e3a4d.pdf
barclays,visual_documents,EN,Untapped-Unicorns-Scaling-up-Female-Entrepreneurship-2017_en.pdf,dfc9b4829ad320ce6d694e99349a5063.pdf
barclays,visual_documents,EN,Barclays-Bank-PLC-2017-AR-FINAL_en.pdf,13f0ea816dd9d670883657ea0e1c38d8.pdf
barclays,visual_documents,EN,Barclays-ESG-2018_en.pdf,d478d2421788f08ad3c1f77e8e85baa2.pdf
barclays,visual_documents,EN,Barclays-PLC-ESG-Report-2019_en.pdf,feb8b759acf9a626161bfe944ae258ec.pdf
barclays,visual_documents,EN,Insights_AI_in_Agriculture_en.pdf,20d79f1c5ed5a6c67477db7f818da14c.pdf
barclays,visual_documents,EN,Barclays NoM_en.pdf,016b887b0c0598ee62499dd300cc0ab6.pdf
barclays,visual_documents,EN,Accenture-Sharing-The-Path-Ahead-Barclays-GSK-Partnership_en.pdf,0536f5b63c611fd2ff29e39225677954.pdf
barclays,visual_documents,EN,barclays_per_scholas_defending_the_digital_frontier_en.pdf,d4329f56ee13ed4125e0de95bd40e831.pdf
barclays,visual_documents,EN,Barclays PLC - 20-F - 2023 - Final_en.pdf,9df63438b8744ea74c0ee286d43a08f5.pdf
ubs,visual_documents,EN,ubs-global-inclusive-accessibility_en.pdf,42ebeed3665fdab2baeaba41c45792b5.pdf
ubs,visual_documents,EN,ubs-group-ag-compensation-2018-en_en.pdf,d2abae0326921e7f64e366dcc4c77b51.pdf
ubs,visual_documents,EN,women-wealth-report-2030_en.pdf,de741e9f1f9ce855c04f6cd6b4503ad1.pdf
ubs,visual_documents,EN,msci-china-esg-universal-whitepaper_en.pdf,ee1ae1d40b5496e6ebcb30b7b9185769.pdf
ubs,visual_documents,EN,global-equity-strategy-en-1633397_en.pdf,1e4d3e5b8117406345d72ae4b9beb939.pdf
ubs,visual_documents,EN,iw-3q-2018-china-report-en_en.pdf,93de38a58f4893b784a7009344d78f98.pdf
ubs,visual_documents,EN,annual-review-2018-en_en.pdf,a8193012c0fcec98dccb1002cc13cb30.pdf
ubs,visual_documents,EN,sustainability-report-2023-supplement_en.pdf,d1142346c90f20e57155e6db82c59a0d.pdf
ubs,visual_documents,EN,ubs-gfo-report-2021-double-pages_en.pdf,ad5fe60b7caf0a09895e28b16870b04f.pdf
ubs,visual_documents,EN,ubs-broschuere-schritt-fuer-schritt-en_en.pdf,349eace3336e9b8c02862825ecc549dd.pdf
ubs,visual_documents,EN,20240831MR-CH0190227683-12579-CH-EN_en.pdf,6a77ea6322ce242f64176b240e572aae.pdf
ubs,visual_documents,EN,natural-capital-white-paper_en.pdf,0170b6fd41578a60307c1e3707a94c5c.pdf
ubs,visual_documents,EN,ubs-gender-lens-investment-2025_en.pdf,ecd3578f28067a7c5a4421146d7508c7.pdf
agricole,visual_documents,EN,credit_update_may_2018-05.pdf,c3324e432572ab25d90648cbb3e94ceb.pdf
agricole,visual_documents,EN,URD_CACIB_2023_EN.pdf,19910e8afd007b671d93fc226bfbf34e.pdf
agricole,visual_documents,EN,casa-q1-25-slides.pdf,131fca1635458a9831ef593328327ec9.pdf
agricole,visual_documents,EN,code-of-conduct_en.pdf,d558df628c7c66c076ac131ec0efc863.pdf
agricole,visual_documents,EN,en_slides-presse-t1-2025-vdef.pdf,4ef325c0414bfdf5148f20dcbc7eb209.pdf
agricole,visual_documents,EN,ca-socialbondreport-2023-en-vf-bd_en.pdf,3d68d4a8bcb3d1fae0488433e803bbbe.pdf
agricole,visual_documents,EN,amendment-a02-to-the-universal-registration-document-2024.pdf,cb63c8befe71222120cef4ec725e6148.pdf
agricole,visual_documents,EN,credit-update-2021-t2.pdf,030493c6f1e549d865155430ff864206.pdf
agricole,visual_documents,EN,credit-update-2020-t3.pdf,26d41b0afb8692bdd2bf5bdf09258749.pdf
bgl,visual_documents,EN,actu_2t09_ddr_vdef_gb.6999 (2)_en.pdf,827de7614da35f538353204f9878a2fe.pdf
bgl,visual_documents,EN,bnp_paribas_-_first_upddate_rd_1q17_en.pdf,74e22106674f6224843b91339761418d.pdf
bgl,visual_documents,EN,conf_boaml (1)_en.pdf,1002884e549a78736ffc0d9a21dcfb64.pdf
bgl,visual_documents,EN,2018-Rapport-Annuel-EN_en.pdf,af7bd4a4403a5771589e4ba13b4142e0.pdf
bgl,visual_documents,EN,4q19-slides (1)_en.pdf,b1483963a72873ec93459c17e5b76e4b.pdf
bgl,visual_documents,EN,WEB_EN_Rapport_annuel_2021_0422_BGL_en.pdf,7e8e021ccab578ffecdd30fd7d595cfc.pdf
bgl,visual_documents,EN,bnp_paribas_-_3rd_upddate_to_the_2016_registration_document (1)_en.pdf,d5d198166a6138b69a3bc56cd6d06b37.pdf
bgl,visual_documents,EN,Annual_Report_2017_en.pdf,ccc27c6dd1b4c0aac14a1684281b2e63.pdf
bgl,visual_documents,EN,BGL_2014 Annual Report EN 20141231_en.pdf,19ea898904bb1c7304781a5b2f400cdc.pdf
bgl,visual_documents,EN,BGL_2016 Annual Report EN 20161231_en.pdf,f8b5ef41fd71bb8eac5afa85ce7f59a5.pdf
lbg,visual_documents,EN,2014_lbg_annual_report_en.pdf,b23176e103f5194bb3dbb087a7953776.pdf
lbg,visual_documents,EN,2015_lbg_annual_report_en.pdf,32c2c12bc481fee8abd7f12c8bdaa4ba.pdf
lbg,visual_documents,EN,lbg-esg-interactive-210223_en.pdf,034a1683a02b9bbb8e462797c20aecab.pdf
lbg,visual_documents,EN,2023-lbg-sustainability-report_en.pdf,b3ee9e008d5489201ad9f3abd1dcb32b.pdf
lbg,visual_documents,EN,sharing-learnings-with-local-and-combined-authorities-lbg_en.pdf,27ab88d066e9d44c3411621c3088b26b.pdf
lbg,visual_documents,EN,2007_ltsb_group_annual-report_en.pdf,1906e16e6a2179b41dda858ef8e51c66.pdf
lbg,visual_documents,EN,2024-lbg-sustainability-report_en.pdf,7d8316c8dab35a0f9f55544950d13a42.pdf
lbg,visual_documents,EN,2022-lbg-code-of-ethics-and-responsibility_en.pdf,3a159a430743ca9e952b8e3bf59e4ea6.pdf
bpce,visual_documents,EN,2e-Actu-DRF-2009_02-eng_en.pdf,7c5c7bd6067fca7e24583c4ea258173b.pdf
bpce,visual_documents,EN,BPCE_URD-2020_2nd-Amendement_EN-.pdf,1452f3dcef1b12c1c9c903c74d32d667.pdf
bpce,visual_documents,EN,Groupe-BPCE_H1-2018-results_ENG.pdf,5dd481f5ab2e63e28d691b8827f2d311.pdf
bpce,visual_documents,EN,Groupe-BPCE_19022014-results_en.pdf,20f3244e8e7fd7b139442127d82f8a0e.pdf
bpce,visual_documents,EN,gbpce-20240410-sff-en-1_en.pdf,efc02671cd8a67208e40452a72a07df5.pdf
bpce,visual_documents,EN,Groupe-BPCE_results-2017-Q4-2017_ENG.pdf,2b8b5e62f399619a4e71acd312faacaa.pdf
bpce,visual_documents,EN,Amendement_URD-30-septembre-2020_EN.pdf,2a0987fb89a918d0153a597acb66726a.pdf
bpce,visual_documents,EN,Second-amendment-to-Universal-Registration-Document_en.pdf,7f81e5ff9bd39e573a8df8207c3ca055.pdf
bpce,visual_documents,EN,Groupe_BPCE_Q4-12_results_FV_en.pdf,2c7f1c381087590c045a53ca9d3283b9.pdf
bpce,visual_documents,EN,plaquette-nf-eng-5_en.pdf,8a6ab1088111399d39a3f46a2d2a3edc.pdf
bpce,visual_documents,EN,res_semes_bpce_2009_en.pdf,eea3eae24d8b47f7a7f72be12118d187.pdf
bpce,visual_documents,EN,TCFD_RapportClimat2022_EN-01-1.pdf,ef3a35894f4f593158d1db751720cc44.pdf
bpce,visual_documents,EN,Third-update-of-the-2016-Groupe-BPCE-registration-document_EN.pdf,0ad843fd7202e583d5e86b54f9bb770d.pdf
