company,file_category,language,original_filename,hashed_filename,total_pages,sampled_pages,sampled_pages_count
barclays,visual_documents,EN,Barclays-PLC-2020-ESG-Report-2020_en.pdf,d6fe10b4020a25a1bbabc9d0aff340e4.pdf,116,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_4.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_32.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_14.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_62.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_7.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_64.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_66.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_61.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_9.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d6fe10b4020a25a1bbabc9d0aff340e4_63.png""]",10
barclays,visual_documents,EN,Barclays-PLC-Annual-Report-2023_en.pdf,e7582dae4606522536feed60c411436f.pdf,510,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_113.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_33.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_196.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_399.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_30.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_109.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_118.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_37.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_31.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_17.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_26.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_147.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_27.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_114.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_20.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_159.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_15.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_119.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_19.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_22.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/e7582dae4606522536feed60c411436f_120.png""]",21
barclays,visual_documents,EN,review-of-2021-preview-of-2022_en.pdf,de993018c502ad75be721447b41e3a4d.pdf,9,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/de993018c502ad75be721447b41e3a4d_6.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/de993018c502ad75be721447b41e3a4d_4.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/de993018c502ad75be721447b41e3a4d_5.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/de993018c502ad75be721447b41e3a4d_2.png""]",4
barclays,visual_documents,EN,Untapped-Unicorns-Scaling-up-Female-Entrepreneurship-2017_en.pdf,dfc9b4829ad320ce6d694e99349a5063.pdf,40,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/dfc9b4829ad320ce6d694e99349a5063_11.png""]",1
barclays,visual_documents,EN,Barclays-Bank-PLC-2017-AR-FINAL_en.pdf,13f0ea816dd9d670883657ea0e1c38d8.pdf,271,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/13f0ea816dd9d670883657ea0e1c38d8_162.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/13f0ea816dd9d670883657ea0e1c38d8_32.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/13f0ea816dd9d670883657ea0e1c38d8_49.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/13f0ea816dd9d670883657ea0e1c38d8_26.png""]",4
barclays,visual_documents,EN,Barclays-ESG-2018_en.pdf,d478d2421788f08ad3c1f77e8e85baa2.pdf,73,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_58.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_61.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_30.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_56.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_4.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_70.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_63.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_40.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_12.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d478d2421788f08ad3c1f77e8e85baa2_57.png""]",10
barclays,visual_documents,EN,Barclays-PLC-ESG-Report-2019_en.pdf,feb8b759acf9a626161bfe944ae258ec.pdf,116,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_24.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_52.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_27.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_16.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_11.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_81.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_94.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_9.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_95.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_34.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/feb8b759acf9a626161bfe944ae258ec_44.png""]",11
barclays,visual_documents,EN,Insights_AI_in_Agriculture_en.pdf,20d79f1c5ed5a6c67477db7f818da14c.pdf,41,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/20d79f1c5ed5a6c67477db7f818da14c_13.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/20d79f1c5ed5a6c67477db7f818da14c_37.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/20d79f1c5ed5a6c67477db7f818da14c_11.png""]",3
barclays,visual_documents,EN,Barclays NoM_en.pdf,016b887b0c0598ee62499dd300cc0ab6.pdf,16,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/016b887b0c0598ee62499dd300cc0ab6_2.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/016b887b0c0598ee62499dd300cc0ab6_14.png""]",2
barclays,visual_documents,EN,Accenture-Sharing-The-Path-Ahead-Barclays-GSK-Partnership_en.pdf,0536f5b63c611fd2ff29e39225677954.pdf,28,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/0536f5b63c611fd2ff29e39225677954_1.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/0536f5b63c611fd2ff29e39225677954_13.png""]",2
barclays,visual_documents,EN,barclays_per_scholas_defending_the_digital_frontier_en.pdf,d4329f56ee13ed4125e0de95bd40e831.pdf,32,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d4329f56ee13ed4125e0de95bd40e831_15.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/d4329f56ee13ed4125e0de95bd40e831_17.png""]",2
barclays,visual_documents,EN,Barclays PLC - 20-F - 2023 - Final_en.pdf,9df63438b8744ea74c0ee286d43a08f5.pdf,489,"[""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_21.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_68.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_13.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_51.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_14.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_81.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_93.png"", ""data/sampled_pages/single_page_images/EN/barclays/visual_documents/9df63438b8744ea74c0ee286d43a08f5_131.png""]",8
ubs,visual_documents,EN,ubs-global-inclusive-accessibility_en.pdf,42ebeed3665fdab2baeaba41c45792b5.pdf,32,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/42ebeed3665fdab2baeaba41c45792b5_1.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/42ebeed3665fdab2baeaba41c45792b5_8.png""]",2
ubs,visual_documents,EN,ubs-group-ag-compensation-2018-en_en.pdf,d2abae0326921e7f64e366dcc4c77b51.pdf,58,[],0
ubs,visual_documents,EN,women-wealth-report-2030_en.pdf,de741e9f1f9ce855c04f6cd6b4503ad1.pdf,23,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/de741e9f1f9ce855c04f6cd6b4503ad1_18.png""]",1
ubs,visual_documents,EN,msci-china-esg-universal-whitepaper_en.pdf,ee1ae1d40b5496e6ebcb30b7b9185769.pdf,7,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/ee1ae1d40b5496e6ebcb30b7b9185769_5.png""]",1
ubs,visual_documents,EN,global-equity-strategy-en-1633397_en.pdf,1e4d3e5b8117406345d72ae4b9beb939.pdf,12,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/1e4d3e5b8117406345d72ae4b9beb939_3.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/1e4d3e5b8117406345d72ae4b9beb939_2.png""]",2
ubs,visual_documents,EN,iw-3q-2018-china-report-en_en.pdf,93de38a58f4893b784a7009344d78f98.pdf,16,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/93de38a58f4893b784a7009344d78f98_15.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/93de38a58f4893b784a7009344d78f98_14.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/93de38a58f4893b784a7009344d78f98_11.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/93de38a58f4893b784a7009344d78f98_8.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/93de38a58f4893b784a7009344d78f98_9.png""]",5
ubs,visual_documents,EN,annual-review-2018-en_en.pdf,a8193012c0fcec98dccb1002cc13cb30.pdf,30,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_9.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_16.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_12.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_17.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_10.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_22.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_19.png"", ""data/sampled_pages/single_page_images/EN/ubs/visual_documents/a8193012c0fcec98dccb1002cc13cb30_24.png""]",8
ubs,visual_documents,EN,sustainability-report-2023-supplement_en.pdf,d1142346c90f20e57155e6db82c59a0d.pdf,194,"[""data/sampled_pages/single_page_images/EN/ubs/visual_documents/d1142346c90f20e57155e6db82c59a0d_1.png""]",1
