query,image,image_filename,answer,page_number,chunk_type,text_description,chunk_id
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"18//

A Guide to Trade Finance

2.4.2 Key considerations",1c13544248fda6951a76950a332e334a_10_0
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"Parties involved:

— Principal - the party entrusting the handling of a collection to a bank.

— Remitting bank - the bank to which the principal has entrusted the handling of a collection.

— Collecting bank - any bank, other than the remitting bank, involved in processing the collection.

— Presenting bank - the collecting bank making presentation to the drawee.

— Drawee - the party to whom presentation is made for payment, acceptance, or other specified consideration.",1c13544248fda6951a76950a332e334a_10_1
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"See also Section 2.8: ICC rules and standards

2.4.3 Workflow

Figure 7: Collections workflow

Source: David Meynell

Copyright® 2020 Deutsche Bank AG. All rights reserved",1c13544248fda6951a76950a332e334a_10_2
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"2.4.4 In practice

As noted in the risk ladder diagram (see Figure 4), collections sit between open account and documentary credits. However, this does not absolve participants from undergoing necessary due diligence exercises on counterparties.

Risks still exist, with the most prevalent examples being

— Credit - a buyer may not pay for the goods owing to insolvency or wilful default.

— Sovereign — introduction of laws and/or regulations that may prevent settlement.",1c13544248fda6951a76950a332e334a_10_3
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"— Transit - damage, loss, or theft during the movement of goods.

— Exchange - movements in exchange rates can easily create an unexpected profit or loss.",1c13544248fda6951a76950a332e334a_10_4
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,"The exporter needs to have a certain amount of trust in the importer. As such, itis useful for the exporter to obtain an awareness of not only the financial standing of the importer, but also an insight into historical trading activities including payment delays and any instances of non-payment. The political stability of a country may additionally need to be considered as well as the choice of currency to settle the transaction. In all trading circumstances, there must be an understanding that",1c13544248fda6951a76950a332e334a_10_5
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,one of the parties will take out necessary insurance cover for the transit of the goods.,1c13544248fda6951a76950a332e334a_10_6
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,text,1/19,1c13544248fda6951a76950a332e334a_10_7
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,figure,"O contract Sc! mm OY""! principal drawee e @ Shipment of goods Prepare E> documents @ ® Documents Payment/ Collection instruction against accepted bill and documents payment/ acceptance ® Collection instruction and documents @ Payment/accepted bill Remitting Collecting/ bank presenting bank",1c13544248fda6951a76950a332e334a_10_8
What is the first step in the collections workflow process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Contract""]",10,figure,,1c13544248fda6951a76950a332e334a_10_9
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"18//

A Guide to Trade Finance

2.4.2 Key considerations",1c13544248fda6951a76950a332e334a_10_0
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"Parties involved:

— Principal - the party entrusting the handling of a collection to a bank.

— Remitting bank - the bank to which the principal has entrusted the handling of a collection.

— Collecting bank - any bank, other than the remitting bank, involved in processing the collection.

— Presenting bank - the collecting bank making presentation to the drawee.

— Drawee - the party to whom presentation is made for payment, acceptance, or other specified consideration.",1c13544248fda6951a76950a332e334a_10_1
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"See also Section 2.8: ICC rules and standards

2.4.3 Workflow

Figure 7: Collections workflow

Source: David Meynell

Copyright® 2020 Deutsche Bank AG. All rights reserved",1c13544248fda6951a76950a332e334a_10_2
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"2.4.4 In practice

As noted in the risk ladder diagram (see Figure 4), collections sit between open account and documentary credits. However, this does not absolve participants from undergoing necessary due diligence exercises on counterparties.

Risks still exist, with the most prevalent examples being

— Credit - a buyer may not pay for the goods owing to insolvency or wilful default.

— Sovereign — introduction of laws and/or regulations that may prevent settlement.",1c13544248fda6951a76950a332e334a_10_3
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"— Transit - damage, loss, or theft during the movement of goods.

— Exchange - movements in exchange rates can easily create an unexpected profit or loss.",1c13544248fda6951a76950a332e334a_10_4
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,"The exporter needs to have a certain amount of trust in the importer. As such, itis useful for the exporter to obtain an awareness of not only the financial standing of the importer, but also an insight into historical trading activities including payment delays and any instances of non-payment. The political stability of a country may additionally need to be considered as well as the choice of currency to settle the transaction. In all trading circumstances, there must be an understanding that",1c13544248fda6951a76950a332e334a_10_5
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,one of the parties will take out necessary insurance cover for the transit of the goods.,1c13544248fda6951a76950a332e334a_10_6
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,text,1/19,1c13544248fda6951a76950a332e334a_10_7
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,figure,"O contract Sc! mm OY""! principal drawee e @ Shipment of goods Prepare E> documents @ ® Documents Payment/ Collection instruction against accepted bill and documents payment/ acceptance ® Collection instruction and documents @ Payment/accepted bill Remitting Collecting/ bank presenting bank",1c13544248fda6951a76950a332e334a_10_8
Who is responsible for preparing documents during the collections workflow?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Remitting bank""]",10,figure,,1c13544248fda6951a76950a332e334a_10_9
What happens after the shipment of goods in the collections process?,data/pages/1c13544248fda6951a76950a332e334a_10.png,1c13544248fda6951a76950a332e334a_10.png,"[""Prepare documents""]",10,text,"18//

A Guide to Trade Finance

2.4.2 Key considerations",1c13544248fda6951a76950a332e334a_10_0
